,MeanB,VarianceB,SkewnessB,KurtosisB,ContrastB,EntropyB,EnergyB,HomoB,CorreB
0,133.1685028076172,78.80329764804989,-0.3074942682472254,-0.5125834316315121,2.288371390918232,11649.49203431373,0.5342380154518669,0.6750967831687756,0.06564951324771184
1,138.5188293457031,82.89808232210383,-0.3936659025896313,-0.6941880915486309,2.761397416075742,11357.00818014706,0.3014361286947101,0.5082595026942296,0.1768422903767545
2,124.6497802734375,69.82022636716016,-0.4919328318784696,0.05443927082187372,1.637381629979223,4241.385992539139,0.675769550111795,0.8940940927073847,0.5657711030092835
3,130.0950012207031,85.7029233242414,-0.2563371238501613,-0.9010800643795638,2.409388867092928,13089.46564031863,0.4308463019013953,0.6174391254724647,0.1119425794617478
4,127.419921875,89.14953958132513,-0.1988440983111009,-1.070265288711495,2.400828056738022,14362.21585477941,0.4054250045642108,0.59680912150601,0.09889374859163826
5,133.3669586181641,89.73034809950911,-0.2853451169193291,-1.082927801589209,2.879663380675046,14361.52619485294,0.2688348546291779,0.4663485477330171,0.1108286275689615
6,135.2305755615234,75.15867154897768,-0.3639807706870167,-0.2713619575317678,2.212757756401193,10916.09016544117,0.5588223355821493,0.6774700275448553,0.03751723881849511
7,125.0052642822266,71.43856660502979,-0.4456723391082216,-0.05585004852020603,1.669459113749794,4531.352067025439,0.6631574765908682,0.8884787783421179,0.5568697615666773
8,133.1685028076172,78.80329764804989,-0.3074942682472254,-0.5125834316315121,2.288371390918232,11649.49203431373,0.5342380154518669,0.6750967831687756,0.06564951324771184
9,133.0433044433594,79.49797517148352,-0.2926420836079282,-0.5813635223485023,2.419353598179123,12100.4478247549,0.5112355012595483,0.6473903265811345,0.0463672715793019
10,123.9005126953125,70.4891092903417,-0.4780611074137011,-0.02409238632077626,1.659588140358411,4275.682745229941,0.6696610429716284,0.892299441436195,0.5705244854140732
11,123.6635131835938,72.45895758252809,-0.4205040372474732,-0.1567066413157869,1.629963266016844,4590.834530944227,0.6627675696050223,0.8919460020785673,0.5636019016147078
12,136.6187438964844,73.59208110988786,-0.4070541111240707,-0.1126065152482814,2.11350427169975,10379.97886029412,0.5755375902081244,0.6919198514909285,0.04538970467281134
13,133.3669586181641,89.73034809950911,-0.2853451169193291,-1.082927801589209,2.879663380675046,14361.52619485294,0.2688348546291779,0.4663485477330171,0.1108286275689615
14,122.0450897216797,73.0719934837384,-0.3946194481183141,-0.272223744215732,1.799616887283736,4719.11772260274,0.6347367992799912,0.8712131212195299,0.5588937313374623
15,144.3947906494141,69.48439285147322,-0.3622984276050433,0.3057566469074611,2.038131077932679,6410.522457107843,0.5896803045928664,0.7523073849318241,0.3387112501456278
16,144.1045379638672,70.57070956839645,-0.3576931095095607,0.2062105053905094,2.065125800222862,6765.492555147057,0.5786071088475522,0.7410650590859484,0.3234152787588389
17,140.7634735107422,70.07027772340086,-0.385011411158302,0.2743575426957441,2.08210128947335,6879.944852941178,0.5620170009748476,0.7187979918572427,0.3021083064464544
18,142.6597747802734,75.37574567772258,-0.3284645627151529,-0.2475213503112252,2.162610137944474,11399.12789522059,0.5605802046611468,0.6905672991455235,0.0007287239342714818
19,133.3695831298828,81.69274795143082,-0.283814145106529,-0.6636990649407548,2.235666543953055,12597.07490808823,0.5253485975875146,0.6749873329329211,0.05986130078336388
20,144.1045379638672,70.57070956839645,-0.3576931095095607,0.2062105053905094,2.065125800222862,6765.492555147057,0.5786071088475522,0.7410650590859484,0.3234152787588389
21,123.5735931396484,72.52938910707238,-0.409932978142365,-0.1711679185215083,1.665852968015091,4628.653910836594,0.6531116489824375,0.8826555655324732,0.5608605311216307
22,146.0513153076172,65.55924840688557,-0.3594976005428616,0.6580330385593709,2.036406158490795,5789.35306372549,0.6062257821814092,0.752725205530248,0.3291292962454436
23,138.1341552734375,85.97885745840568,-0.4716028834913273,-0.8764756455329663,2.764289791812486,12943.56783088235,0.2782566326048919,0.4812577443281066,0.1273006677923603
24,124.1823577880859,72.12277727502395,-0.4265889234196243,-0.122328996876778,1.651593421861817,4608.743074241684,0.6617759241646506,0.8895299075749812,0.5578084585001694
25,122.4922943115234,73.0283121162882,-0.4008684917413883,-0.2497464820857522,1.75555896205118,4713.453583659491,0.6402754219491046,0.8748615991885178,0.5588987371891629
26,134.5305786132812,78.12835273279109,-0.3187205139411075,-0.4875602415407427,2.336442168775935,11789.06230085784,0.5292356115196432,0.6547901106543277,0.03803012473598631
27,122.8914489746094,74.15850471890353,-0.3750970258338788,-0.3040423901283011,1.715004599875128,4922.756237769081,0.6397262526098695,0.8773028703069536,0.5532508058388764
28,123.6635131835938,72.45895758252809,-0.4205040372474732,-0.1567066413157869,1.629963266016844,4590.834530944227,0.6627675696050223,0.8919460020785673,0.5636019016147078
29,123.2155151367188,66.99891890199716,-0.5708946947777437,0.2266929215300602,1.577450899630098,3814.386818126224,0.6832257086903483,0.8879193685778769,0.5758915756033448
30,122.4757995605469,72.96148414061243,-0.4014227194918951,-0.2420233123164039,1.732308682395358,4670.159368884541,0.6466349959410586,0.8808014943076,0.5621491588302155
31,122.2459106445312,73.37016827965296,-0.3929386232027643,-0.2815887186605703,1.784511509815331,4777.121865826812,0.6354464629905396,0.8726857940127252,0.5570957515823074
32,134.5305786132812,78.12835273279109,-0.3187205139411075,-0.4875602415407427,2.336442168775935,11789.06230085784,0.5292356115196432,0.6547901106543277,0.03803012473598631
33,133.4510345458984,80.18091848168082,-0.3016380941872814,-0.6053925524211548,2.412460085047231,12162.17212009804,0.5000328921975812,0.6404236392165717,0.05776572666406945
34,123.4520111083984,72.89799469908836,-0.40594956672272,-0.2070327095764277,1.720381071963906,4727.042318982387,0.6491832330269137,0.8818688862039156,0.5560497606575667
35,138.5757446289062,73.55711024825172,-0.3857876673116532,-0.09520211643242682,2.092432656567661,10403.19488357843,0.5787306513704127,0.6955822055144852,0.04238283075347082
36,122.4757995605469,72.96148414061243,-0.4014227194918951,-0.2420233123164039,1.732308682395358,4670.159368884541,0.6466349959410586,0.8808014943076,0.5621491588302155
37,144.4809722900391,69.12607371070044,-0.3639316545574979,0.3283340188032207,2.099969824519606,6551.030790441177,0.5770988436824854,0.7345960573579161,0.3171925142127109
38,121.0650024414062,75.18680238873294,-0.340928861412975,-0.4227579111989135,1.820208197594998,4981.553938356165,0.6205069113237409,0.8692658794021505,0.560186610994793
39,122.6975708007812,74.19435535082951,-0.3686807136842896,-0.3022486728916567,1.683172426939633,4951.655011619374,0.6435418985979615,0.8807026126645419,0.5510612235991994
40,147.7679748535156,66.9839483164139,-0.3501440206798567,0.5249734466931155,2.024650120279155,5837.305484068627,0.5957609711094641,0.7550138109990128,0.352031664264938
41,140.4403991699219,70.73274729072658,-0.3774806847604401,0.2064060324881898,2.069036000649417,6775.790349264704,0.5712101440523976,0.7352675002857172,0.3254875747995338
42,137.7729644775391,84.94058636813129,-0.3601459888547922,-0.8191092611825739,2.823259977172864,12204.41007965686,0.2897663518967462,0.4930270600812495,0.15745789091756
43,122.8914489746094,74.15850471890353,-0.3750970258338788,-0.3040423901283011,1.715004599875128,4922.756237769081,0.6397262526098695,0.8773028703069536,0.5532508058388764
44,131.0102844238281,88.51000429220868,-0.2348939188647142,-1.01065081361608,2.374918533587052,14064.78995098039,0.4217400415522939,0.6128607564742592,0.1054286643890512
45,146.0513153076172,65.55924840688557,-0.3594976005428616,0.6580330385593709,2.036406158490795,5789.35306372549,0.6062257821814092,0.752725205530248,0.3291292962454436
46,123.7372589111328,69.978677048171,-0.4793915076620556,0.01846821084213657,1.609421501177983,4296.238747553816,0.6685956122128759,0.8851829061810199,0.5621394845073587
47,122.4922943115234,73.0283121162882,-0.4008684917413883,-0.2497464820857522,1.75555896205118,4713.453583659491,0.6402754219491046,0.8748615991885178,0.5588987371891629
48,146.8638305664062,68.42901172120794,-0.3577269602334044,0.3991324054482761,2.034956742673355,6251.820251225492,0.5897058676296135,0.7496264228064933,0.3350258372914542
49,123.1331329345703,73.75197207282339,-0.3858496631911439,-0.2730447183213824,1.726921713764892,4828.206442636987,0.6422558063870004,0.8793621904229941,0.5569883763637041
50,141.0600433349609,90.06350745390979,-0.4906992895446303,-1.031544800141122,2.63177444225579,14127.65026041667,0.2892821394139632,0.4943344013333604,0.1317629190262981
51,137.7729644775391,84.94058636813129,-0.3601459888547922,-0.8191092611825739,2.823259977172864,12204.41007965686,0.2897663518967462,0.4930270600812495,0.15745789091756
52,145.5667724609375,68.1606257868089,-0.3533773490632054,0.4007105258646919,2.075807261207055,6362.093290441178,0.5893332755928694,0.7420897827665124,0.3179632470773369
53,138.5757446289062,73.55711024825172,-0.3857876673116532,-0.09520211643242682,2.092432656567661,10403.19488357843,0.5787306513704127,0.6955822055144852,0.04238283075347082
54,136.289306640625,74.33418846738822,-0.4017286265569964,-0.1637373574098824,2.127484828836525,10502.78797487745,0.5656938279929326,0.6864890363261524,0.05324681273439207
55,131.0102844238281,88.51000429220868,-0.2348939188647142,-1.01065081361608,2.374918533587052,14064.78995098039,0.4217400415522939,0.6128607564742592,0.1054286643890512
56,122.6975708007812,74.19435535082951,-0.3686807136842896,-0.3022486728916567,1.683172426939633,4951.655011619374,0.6435418985979615,0.8807026126645419,0.5510612235991994
57,144.2379150390625,69.70476773660096,-0.35233689713027,0.2685288884865842,2.094306321035166,6480.719087009804,0.5779084675468812,0.7397012639413806,0.335690897787032
58,124.8701171875,68.86156701636376,-0.5245903361023484,0.1354178235538641,1.621471290909373,4127.65256543542,0.6832155267988496,0.8964853252707468,0.5655669368398809
59,149.7060089111328,65.73092881555445,-0.3355296378923517,0.6337042693828998,1.966265814568951,5610.119301470587,0.609772819821177,0.7676024779099441,0.3532652653385051
60,133.1293182373047,78.63223529539484,-0.3083954255818281,-0.526476738428423,2.376120517292563,11870.55321691176,0.5171244866111425,0.6454622314397525,0.04377165970855805
61,136.6187438964844,73.59208110988786,-0.4070541111240707,-0.1126065152482814,2.11350427169975,10379.97886029412,0.5755375902081244,0.6919198514909285,0.04538970467281134
62,147.7638244628906,67.35658643556984,-0.3601371543391808,0.5089665986789194,1.989342487523564,6020.864522058822,0.6013754397199472,0.7612190544141869,0.3390305194176236
63,134.8381958007812,88.48297077960878,-0.4222105893951586,-1.026841583186155,2.694121055295691,13654.75640318627,0.2753869804377423,0.4746340655538457,0.1306141415937729
64,139.7638549804688,71.14048637857448,-0.3742751783348289,0.1658682208134614,2.070192258856963,6937.846691176471,0.570532188441464,0.733237042963348,0.3172480631580996
65,141.4704284667969,70.63493265874942,-0.3663028912297761,0.2015858785345404,2.068246865900052,6869.766176470589,0.5772875490899926,0.7359417076475628,0.3142383415237848
66,144.4809722900391,69.12607371070044,-0.3639316545574979,0.3283340188032207,2.099969824519606,6551.030790441177,0.5770988436824854,0.7345960573579161,0.3171925142127109
67,140.7536926269531,75.94617163168934,-0.3559336582240897,-0.2668570597482169,2.151230695874957,11384.5556372549,0.5570917079678547,0.6857900980188822,0.01682828172751212
68,140.7634735107422,70.07027772340086,-0.385011411158302,0.2743575426957441,2.08210128947335,6879.944852941178,0.5620170009748476,0.7187979918572427,0.3021083064464544
69,142.6597747802734,75.37574567772258,-0.3284645627151529,-0.2475213503112252,2.162610137944474,11399.12789522059,0.5605802046611468,0.6905672991455235,0.0007287239342714818
70,147.7638244628906,67.35658643556984,-0.3601371543391808,0.5089665986789194,1.989342487523564,6020.864522058822,0.6013754397199472,0.7612190544141869,0.3390305194176236
71,124.3965454101562,70.98815460014832,-0.4589538000838456,-0.03969330439603347,1.652684806718026,4448.104100415851,0.6674041977357597,0.8902958516650201,0.5594690978127016
72,138.5188293457031,82.89808232210383,-0.3936659025896313,-0.6941880915486309,2.761397416075742,11357.00818014706,0.3014361286947101,0.5082595026942296,0.1768422903767545
73,140.4403991699219,70.73274729072658,-0.3774806847604401,0.2064060324881898,2.069036000649417,6775.790349264704,0.5712101440523976,0.7352675002857172,0.3254875747995338
74,123.9005126953125,70.4891092903417,-0.4780611074137011,-0.02409238632077626,1.659588140358411,4275.682745229941,0.6696610429716284,0.892299441436195,0.5705244854140732
75,123.1331329345703,73.75197207282339,-0.3858496631911439,-0.2730447183213824,1.726921713764892,4828.206442636987,0.6422558063870004,0.8793621904229941,0.5569883763637041
76,123.4520111083984,72.89799469908836,-0.40594956672272,-0.2070327095764277,1.720381071963906,4727.042318982387,0.6491832330269137,0.8818688862039156,0.5560497606575667
77,123.2459869384766,71.92251671565856,-0.4300562216645755,-0.1413328143896821,1.649815937411292,4626.377782534246,0.6553285683279755,0.8804981575758483,0.553635060100626
78,124.8701171875,68.86156701636376,-0.5245903361023484,0.1354178235538641,1.621471290909373,4127.65256543542,0.6832155267988496,0.8964853252707468,0.5655669368398809
79,134.8381958007812,88.48297077960878,-0.4222105893951586,-1.026841583186155,2.694121055295691,13654.75640318627,0.2753869804377423,0.4746340655538457,0.1306141415937729
80,129.1299591064453,87.76923980094134,-0.2094367455843021,-0.9938475512027014,2.387537389318382,13021.94690563725,0.4336022648651653,0.6324024138688108,0.1579563065001001
81,154.920654296875,89.52751865267516,-0.6275286233652613,-0.960743400400593,2.914872397019589,13526.38365502451,0.260509157630861,0.4579255395174756,0.1582647579641648
82,135.2305755615234,75.15867154897768,-0.3639807706870167,-0.2713619575317678,2.212757756401193,10916.09016544117,0.5588223355821493,0.6774700275448553,0.03751723881849511
83,123.5735931396484,72.52938910707238,-0.409932978142365,-0.1711679185215083,1.665852968015091,4628.653910836594,0.6531116489824375,0.8826555655324732,0.5608605311216307
84,132.3947906494141,84.6265135665188,-0.2716976027249908,-0.8133202894226867,2.314147506313598,12003.871875,0.4674811508576695,0.6613886889591934,0.1651551203475754
85,123.2285614013672,72.80766159851993,-0.4079883607544629,-0.2098388290040645,1.72589486111775,4716.638683341487,0.6477297162819272,0.8801430013188449,0.5559254500552713
86,121.0650024414062,75.18680238873294,-0.340928861412975,-0.4227579111989135,1.820208197594998,4981.553938356165,0.6205069113237409,0.8692658794021505,0.560186610994793
87,147.7679748535156,66.9839483164139,-0.3501440206798567,0.5249734466931155,2.024650120279155,5837.305484068627,0.5957609711094641,0.7550138109990128,0.352031664264938
88,123.2285614013672,72.80766159851993,-0.4079883607544629,-0.2098388290040645,1.72589486111775,4716.638683341487,0.6477297162819272,0.8801430013188449,0.5559254500552713
89,124.6497802734375,69.82022636716016,-0.4919328318784696,0.05443927082187372,1.637381629979223,4241.385992539139,0.675769550111795,0.8940940927073847,0.5657711030092835
90,123.5922088623047,72.73564386793544,-0.408216463886246,-0.1847313076964934,1.679105406592134,4658.959271037183,0.6548382110417942,0.8859018087189885,0.5604890296280826
91,133.1293182373047,78.63223529539484,-0.3083954255818281,-0.526476738428423,2.376120517292563,11870.55321691176,0.5171244866111425,0.6454622314397525,0.04377165970855805
92,145.4367065429688,69.94459689502426,-0.3625956240150952,0.2693880027041562,2.026404008783764,6440.102910539214,0.5894052787462617,0.754811151050549,0.3443700336844678
93,124.3965454101562,70.98815460014832,-0.4589538000838456,-0.03969330439603347,1.652684806718026,4448.104100415851,0.6674041977357597,0.8902958516650201,0.5594690978127016
94,123.2459869384766,71.92251671565856,-0.4300562216645755,-0.1413328143896821,1.649815937411292,4626.377782534246,0.6553285683279755,0.8804981575758483,0.553635060100626
95,122.973388671875,73.65451930436011,-0.3829829815884873,-0.259606386723938,1.670566634404314,4844.182179549902,0.6468445460250462,0.8809570787436165,0.5543444396183944
96,141.4704284667969,70.63493265874942,-0.3663028912297761,0.2015858785345404,2.068246865900052,6869.766176470589,0.5772875490899926,0.7359417076475628,0.3142383415237848
97,138.1341552734375,85.97885745840568,-0.4716028834913273,-0.8764756455329663,2.764289791812486,12943.56783088235,0.2782566326048919,0.4812577443281066,0.1273006677923603
98,133.0433044433594,79.49797517148352,-0.2926420836079282,-0.5813635223485023,2.419353598179123,12100.4478247549,0.5112355012595483,0.6473903265811345,0.0463672715793019
99,123.2155151367188,66.99891890199716,-0.5708946947777437,0.2266929215300602,1.577450899630098,3814.386818126224,0.6832257086903483,0.8879193685778769,0.5758915756033448
100,122.973388671875,73.65451930436011,-0.3829829815884873,-0.259606386723938,1.670566634404314,4844.182179549902,0.6468445460250462,0.8809570787436165,0.5543444396183944
101,136.5448303222656,73.54626195276431,-0.4157399223348598,-0.1068955660913424,2.128492770571188,10544.34371936275,0.5734120125832634,0.6891121303724391,0.02908544905772707
102,133.4510345458984,80.18091848168082,-0.3016380941872814,-0.6053925524211548,2.412460085047231,12162.17212009804,0.5000328921975812,0.6404236392165717,0.05776572666406945
103,123.7372589111328,69.978677048171,-0.4793915076620556,0.01846821084213657,1.609421501177983,4296.238747553816,0.6685956122128759,0.8851829061810199,0.5621394845073587
104,124.1823577880859,72.12277727502395,-0.4265889234196243,-0.122328996876778,1.651593421861817,4608.743074241684,0.6617759241646506,0.8895299075749812,0.5578084585001694
105,133.3695831298828,81.69274795143082,-0.283814145106529,-0.6636990649407548,2.235666543953055,12597.07490808823,0.5253485975875146,0.6749873329329211,0.05986130078336388
106,123.5922088623047,72.73564386793544,-0.408216463886246,-0.1847313076964934,1.679105406592134,4658.959271037183,0.6548382110417942,0.8859018087189885,0.5604890296280826
107,123.4270629882812,68.21763132361906,-0.5319262442778138,0.1457836735817328,1.566794803847216,4058.083124388454,0.6803831946698612,0.8885824806051508,0.5647772244711663
108,144.2379150390625,69.70476773660096,-0.35233689713027,0.2685288884865842,2.094306321035166,6480.719087009804,0.5779084675468812,0.7397012639413806,0.335690897787032
109,154.920654296875,89.52751865267516,-0.6275286233652613,-0.960743400400593,2.914872397019589,13526.38365502451,0.260509157630861,0.4579255395174756,0.1582647579641648
110,129.8527526855469,89.35859421304866,-0.2012221967595844,-1.058490322630574,2.417884703379789,13945.84926470588,0.4146559738508618,0.6129073489059697,0.1299518336771781
111,122.2459106445312,73.37016827965296,-0.3929386232027643,-0.2815887186605703,1.784511509815331,4777.121865826812,0.6354464629905396,0.8726857940127252,0.5570957515823074
112,127.419921875,89.14953958132513,-0.1988440983111009,-1.070265288711495,2.400828056738022,14362.21585477941,0.4054250045642108,0.59680912150601,0.09889374859163826
113,140.0748138427734,89.09357189857057,-0.3811651559090277,-1.041425738665302,2.950234494611174,14109.56409313725,0.2633744968955761,0.4612625950939611,0.1142257413072261
114,132.4590148925781,86.4006756362284,-0.2503516590407385,-0.9045644513271527,2.363600279042607,12770.11544117647,0.4512266197458197,0.6440434774473831,0.147890512457765
115,140.7536926269531,75.94617163168934,-0.3559336582240897,-0.2668570597482169,2.151230695874957,11384.5556372549,0.5570917079678547,0.6857900980188822,0.01682828172751212
116,132.4590148925781,86.4006756362284,-0.2503516590407385,-0.9045644513271527,2.363600279042607,12770.11544117647,0.4512266197458197,0.6440434774473831,0.147890512457765
117,125.0052642822266,71.43856660502979,-0.4456723391082216,-0.05585004852020603,1.669459113749794,4531.352067025439,0.6631574765908682,0.8884787783421179,0.5568697615666773
118,122.8123474121094,72.9929890073088,-0.4028668450554467,-0.2375098729887219,1.743106295278654,4712.720080112524,0.6433596783284413,0.8773093373809059,0.5585423732630583
119,134.8719940185547,79.10519543719737,-0.3165479735320758,-0.4998593531977642,2.225239946085949,11736.10254289216,0.5409121198081701,0.6830548321183907,0.06589020131813005
120,141.0600433349609,90.06350745390979,-0.4906992895446303,-1.031544800141122,2.63177444225579,14127.65026041667,0.2892821394139632,0.4943344013333604,0.1317629190262981
121,122.8123474121094,72.9929890073088,-0.4028668450554467,-0.2375098729887219,1.743106295278654,4712.720080112524,0.6433596783284413,0.8773093373809059,0.5585423732630583
122,123.4270629882812,68.21763132361906,-0.5319262442778138,0.1457836735817328,1.566794803847216,4058.083124388454,0.6803831946698612,0.8885824806051508,0.5647772244711663
123,146.8638305664062,68.42901172120794,-0.3577269602334044,0.3991324054482761,2.034956742673355,6251.820251225492,0.5897058676296135,0.7496264228064933,0.3350258372914542
124,140.0748138427734,89.09357189857057,-0.3811651559090277,-1.041425738665302,2.950234494611174,14109.56409313725,0.2633744968955761,0.4612625950939611,0.1142257413072261
125,145.5667724609375,68.1606257868089,-0.3533773490632054,0.4007105258646919,2.075807261207055,6362.093290441178,0.5893332755928694,0.7420897827665124,0.3179632470773369
126,149.7060089111328,65.73092881555445,-0.3355296378923517,0.6337042693828998,1.966265814568951,5610.119301470587,0.609772819821177,0.7676024779099441,0.3532652653385051
127,139.7638549804688,71.14048637857448,-0.3742751783348289,0.1658682208134614,2.070192258856963,6937.846691176471,0.570532188441464,0.733237042963348,0.3172480631580996
128,144.3947906494141,69.48439285147322,-0.3622984276050433,0.3057566469074611,2.038131077932679,6410.522457107843,0.5896803045928664,0.7523073849318241,0.3387112501456278
129,130.0950012207031,85.7029233242414,-0.2563371238501613,-0.9010800643795638,2.409388867092928,13089.46564031863,0.4308463019013953,0.6174391254724647,0.1119425794617478
130,129.8527526855469,89.35859421304866,-0.2012221967595844,-1.058490322630574,2.417884703379789,13945.84926470588,0.4146559738508618,0.6129073489059697,0.1299518336771781
131,129.1299591064453,87.76923980094134,-0.2094367455843021,-0.9938475512027014,2.387537389318382,13021.94690563725,0.4336022648651653,0.6324024138688108,0.1579563065001001
132,145.4367065429688,69.94459689502426,-0.3625956240150952,0.2693880027041562,2.026404008783764,6440.102910539214,0.5894052787462617,0.754811151050549,0.3443700336844678
133,134.8719940185547,79.10519543719737,-0.3165479735320758,-0.4998593531977642,2.225239946085949,11736.10254289216,0.5409121198081701,0.6830548321183907,0.06589020131813005
134,136.5448303222656,73.54626195276431,-0.4157399223348598,-0.1068955660913424,2.128492770571188,10544.34371936275,0.5734120125832634,0.6891121303724391,0.02908544905772707
135,122.0450897216797,73.0719934837384,-0.3946194481183141,-0.272223744215732,1.799616887283736,4719.11772260274,0.6347367992799912,0.8712131212195299,0.5588937313374623
136,136.1590881347656,79.38794833055769,-0.3238169902453552,-0.4861019586379149,2.133236282220739,11659.13756127451,0.5517538084174095,0.7022253675221025,0.07862439688972526
137,136.289306640625,74.33418846738822,-0.4017286265569964,-0.1637373574098824,2.127484828836525,10502.78797487745,0.5656938279929326,0.6864890363261524,0.05324681273439207
138,132.3947906494141,84.6265135665188,-0.2716976027249908,-0.8133202894226867,2.314147506313598,12003.871875,0.4674811508576695,0.6613886889591934,0.1651551203475754
139,136.1590881347656,79.38794833055769,-0.3238169902453552,-0.4861019586379149,2.133236282220739,11659.13756127451,0.5517538084174095,0.7022253675221025,0.07862439688972526
